name,location,listed_in(type),online_order,votes,rate,approx_cost(for two people)
Blue Hub 757,Bairagarh,Casual Dining,No,86,3.8,650
Fusion Corner 758,Arera Colony,Quick Bites,No,159,3.5,400
Fusion Kitchen 759,MP Nagar,Dining,No,404,4.2,450
Blue Dine 760,Arera Colony,Desserts,No,205,4.2,450
Tandoor Dine 761,Kolar Road,Quick Bites,Yes,257,4.2,300
Spice House 762,Bairagarh,Quick Bites,No,119,4.1,400
Tandoor Corner 763,MP Nagar,Buffet,No,248,3.7,800
Green Bistro 764,Arera Colony,Desserts,Yes,71,4.0,350
Royal Bistro 765,MP Nagar,Buffet,Yes,125,4.2,950
Saffron Bistro 766,Arera Colony,Cafe,Yes,75,4.4,250
Fusion Treats 767,MP Nagar,Cafe,Yes,290,3.6,350
Fusion Cafe 768,Kolar Road,Desserts,Yes,245,3.7,300
Saffron House 769,MP Nagar,Casual Dining,No,76,3.5,350
Fusion Corner 770,Indrapuri,Quick Bites,No,92,3.8,350
Green Cafe 771,Bairagarh,Quick Bites,Yes,60,3.6,250
Fusion Dine 772,Indrapuri,Dining,Yes,255,3.2,650
Urban House 773,Kolar Road,Dining,No,360,3.8,700
Spice Hub 774,Kolar Road,Dining,Yes,334,3.4,750
Royal House 775,Kolar Road,Casual Dining,No,177,4.1,500
Spice Cafe 776,Indrapuri,Buffet,No,144,3.8,1250
Urban Dine 777,Indrapuri,Cafe,Yes,241,3.5,250
Tandoor Dine 778,Kolar Road,Casual Dining,No,219,4.0,600
Urban Cafe 779,Bairagarh,Casual Dining,No,295,4.2,600
Blue Bistro 780,Kolar Road,Cafe,Yes,243,3.6,450
Blue Kitchen 781,Indrapuri,Quick Bites,Yes,59,3.8,350
Spice Dine 782,Kolar Road,Cafe,Yes,240,3.7,550
Blue Hub 783,MP Nagar,Casual Dining,No,375,3.6,900
Royal Hub 784,Kolar Road,Desserts,Yes,99,3.7,200
Saffron Corner 785,TT Nagar,Dining,No,287,3.4,500
Saffron Corner 786,Bairagarh,Quick Bites,Yes,70,3.8,350
Urban Dine 787,Kolar Road,Cafe,No,119,3.4,450
Fusion Hub 788,Bairagarh,Buffet,No,82,3.9,600
Tandoor Dine 789,TT Nagar,Buffet,No,233,3.7,1350
Blue Hub 790,Arera Colony,Desserts,No,96,3.5,500
Fusion Corner 791,Arera Colony,Dining,Yes,356,3.9,350
Royal Treats 792,MP Nagar,Cafe,No,211,4.1,300
Urban Treats 793,TT Nagar,Quick Bites,Yes,100,3.8,350
Blue Bistro 794,Indrapuri,Dining,No,296,4.2,800
Urban House 795,MP Nagar,Buffet,No,142,3.5,1000
Blue Kitchen 796,Indrapuri,Desserts,Yes,84,4.3,250
Green House 797,MP Nagar,Dining,No,449,3.4,450
Spice Bistro 798,Bairagarh,Quick Bites,Yes,267,3.2,200
Royal Bistro 799,Indrapuri,Casual Dining,Yes,309,4.0,500
Tandoor Cafe 800,Bairagarh,Cafe,No,174,3.6,350
Royal House 801,Arera Colony,Cafe,Yes,103,3.9,300
Spice Corner 802,Bairagarh,Buffet,Yes,98,3.5,1050
Spice Hub 803,Indrapuri,Quick Bites,Yes,56,3.4,300
Saffron Treats 804,Bairagarh,Desserts,Yes,91,4.1,500
Saffron Bistro 805,Bairagarh,Dining,Yes,426,4.2,400
Fusion Cafe 806,Kolar Road,Quick Bites,Yes,245,3.4,350
Blue Kitchen 807,Arera Colony,Quick Bites,Yes,183,3.1,350
Green Treats 808,MP Nagar,Casual Dining,Yes,244,3.6,400
Urban Kitchen 809,Kolar Road,Desserts,Yes,233,3.7,200
Blue House 810,MP Nagar,Buffet,No,145,3.9,1200
Tandoor Corner 811,Kolar Road,Buffet,No,131,3.8,750
Green Dine 812,TT Nagar,Desserts,No,233,4.2,450
Blue Bistro 813,Indrapuri,Cafe,Yes,224,3.5,250
Fusion Hub 814,Arera Colony,Quick Bites,Yes,55,4.1,350
Fusion Cafe 815,TT Nagar,Cafe,Yes,149,3.7,300
Tandoor Bistro 816,Arera Colony,Quick Bites,No,109,3.6,300
Green Hub 817,Kolar Road,Dining,No,415,4.2,350
Saffron Corner 818,Bairagarh,Cafe,Yes,137,3.4,600
Saffron Treats 819,Indrapuri,Buffet,No,187,4.2,1400
Green Kitchen 820,Kolar Road,Dining,No,115,4.1,450
Green Dine 821,Indrapuri,Cafe,Yes,145,4.2,450
Saffron House 822,TT Nagar,Desserts,No,63,4.2,500
Royal Cafe 823,Arera Colony,Casual Dining,Yes,360,4.2,550
Spice Hub 824,Arera Colony,Quick Bites,Yes,80,3.2,250
Blue Hub 825,Bairagarh,Buffet,No,186,3.4,850
Saffron House 826,Bairagarh,Cafe,Yes,320,4.5,600
Royal Cafe 827,Kolar Road,Quick Bites,Yes,281,3.2,200
Blue Treats 828,TT Nagar,Dining,Yes,177,3.3,600
Royal Corner 829,Indrapuri,Cafe,Yes,237,3.6,400
Tandoor House 830,Indrapuri,Cafe,No,108,4.3,600
Saffron Dine 831,MP Nagar,Cafe,Yes,270,3.5,550
Fusion Cafe 832,Arera Colony,Buffet,Yes,185,4.1,1350
Urban Bistro 833,Indrapuri,Cafe,Yes,307,4.2,350
Urban Dine 834,Bairagarh,Casual Dining,Yes,219,4.0,550
Tandoor Hub 835,Bairagarh,Cafe,Yes,91,3.8,400
Royal Cafe 836,TT Nagar,Dining,No,175,3.7,550
Urban Treats 837,Indrapuri,Desserts,No,220,3.4,200
Blue Dine 838,Arera Colony,Cafe,No,196,3.8,250
Blue Treats 839,Indrapuri,Cafe,Yes,254,3.8,300
Royal Kitchen 840,MP Nagar,Dining,Yes,215,3.9,550
Blue Cafe 841,Arera Colony,Desserts,Yes,110,3.7,200
Tandoor Treats 842,Bairagarh,Cafe,No,264,4.0,500
Spice Cafe 843,TT Nagar,Dining,No,80,3.3,850
Saffron Cafe 844,MP Nagar,Dining,No,390,3.8,700
Saffron Hub 845,Arera Colony,Buffet,No,275,3.7,700
Royal Corner 846,Bairagarh,Cafe,Yes,88,4.2,400
Tandoor Treats 847,TT Nagar,Buffet,Yes,215,3.4,950
Saffron Bistro 848,Indrapuri,Desserts,No,80,3.4,500
Blue Bistro 849,MP Nagar,Casual Dining,No,93,4.1,600
Fusion House 850,MP Nagar,Quick Bites,No,220,3.2,100
Saffron Cafe 851,MP Nagar,Cafe,Yes,125,4.1,350
Green Corner 852,Kolar Road,Cafe,Yes,156,4.4,500
Green Dine 853,Indrapuri,Buffet,No,190,3.3,750
Green House 854,MP Nagar,Dining,No,361,4.0,850
Urban Dine 855,Arera Colony,Desserts,Yes,52,3.9,150
Tandoor Cafe 856,Indrapuri,Buffet,No,254,4.2,1100
Green Hub 857,Indrapuri,Desserts,Yes,145,3.6,200
Spice Bistro 858,Bairagarh,Desserts,Yes,54,3.5,350
Royal Corner 859,Bairagarh,Cafe,Yes,78,4.1,300
Saffron Corner 860,MP Nagar,Cafe,Yes,212,4.3,400
Fusion Hub 861,Arera Colony,Quick Bites,No,206,3.8,300
Spice Treats 862,Indrapuri,Buffet,No,245,4.2,1250
Urban Dine 863,Bairagarh,Desserts,Yes,121,3.6,300
Tandoor House 864,Indrapuri,Quick Bites,Yes,271,3.6,200
Spice Hub 865,Kolar Road,Casual Dining,Yes,349,3.3,450
Blue Kitchen 866,Arera Colony,Casual Dining,No,109,3.7,650
Blue Hub 867,Bairagarh,Dining,No,438,4.0,450
Royal Cafe 868,TT Nagar,Buffet,No,148,4.1,750
Fusion Corner 869,Kolar Road,Dining,Yes,371,4.1,700
Saffron Dine 870,TT Nagar,Cafe,Yes,130,3.7,250
Urban House 871,Arera Colony,Quick Bites,Yes,106,3.5,200
Royal Cafe 872,MP Nagar,Desserts,Yes,247,3.7,250
Fusion Dine 873,TT Nagar,Quick Bites,Yes,146,4.0,200
Saffron House 874,Kolar Road,Dining,Yes,228,3.4,550
Tandoor Dine 875,Arera Colony,Dining,No,450,3.4,700
Spice Bistro 876,MP Nagar,Casual Dining,No,353,3.8,500
Saffron Bistro 877,Bairagarh,Dining,No,199,3.8,500
Royal Treats 878,MP Nagar,Buffet,No,257,4.0,600
Urban Bistro 879,Bairagarh,Desserts,Yes,192,4.4,500
Fusion Bistro 880,TT Nagar,Desserts,No,62,3.8,350
Urban House 881,Kolar Road,Quick Bites,No,288,3.5,400
Spice Cafe 882,Indrapuri,Casual Dining,Yes,304,3.5,350
Green Bistro 883,Arera Colony,Cafe,Yes,302,4.3,500
Spice Bistro 884,TT Nagar,Dining,No,386,4.0,350
Spice Bistro 885,Indrapuri,Desserts,Yes,79,4.1,450
Royal House 886,Arera Colony,Casual Dining,No,275,3.9,900
Green Cafe 887,MP Nagar,Casual Dining,Yes,137,4.4,950
Saffron Dine 888,Arera Colony,Buffet,No,145,3.7,1200
Royal Bistro 889,Kolar Road,Buffet,No,92,3.4,1050
Spice Corner 890,Bairagarh,Cafe,Yes,234,3.8,600
Royal Hub 891,Arera Colony,Cafe,Yes,208,4.2,350
Blue Cafe 892,TT Nagar,Buffet,No,98,3.7,950
Fusion Bistro 893,Bairagarh,Desserts,No,111,4.2,350
Tandoor Bistro 894,Kolar Road,Quick Bites,Yes,241,3.6,300
Green Corner 895,TT Nagar,Dining,No,312,3.9,750
Royal Dine 896,Indrapuri,Desserts,Yes,150,3.5,150
Fusion Corner 897,Arera Colony,Buffet,No,185,3.8,600
Blue Treats 898,MP Nagar,Cafe,Yes,167,4.4,250
Royal Treats 899,Bairagarh,Desserts,No,105,4.0,300
Fusion Dine 900,Arera Colony,Quick Bites,Yes,115,4.2,100
Saffron House 901,Arera Colony,Buffet,No,184,3.6,900
Spice House 902,Bairagarh,Buffet,Yes,188,3.7,1200
Tandoor Corner 903,Kolar Road,Quick Bites,Yes,281,3.6,200
Spice Bistro 904,Bairagarh,Casual Dining,Yes,315,3.5,700
Fusion Dine 905,Bairagarh,Desserts,Yes,113,4.2,450
Spice Bistro 906,Kolar Road,Buffet,No,110,4.4,700
Green Hub 907,Kolar Road,Quick Bites,No,65,3.4,300
Royal House 908,Indrapuri,Dining,No,288,3.8,500
Tandoor Treats 909,Arera Colony,Cafe,Yes,297,4.1,400
Fusion Cafe 910,TT Nagar,Desserts,Yes,197,3.5,250
Royal Kitchen 911,TT Nagar,Desserts,No,206,3.6,150
Royal Bistro 912,Arera Colony,Cafe,Yes,297,4.4,550
Spice Cafe 913,Kolar Road,Cafe,Yes,223,3.4,350
Spice Kitchen 914,MP Nagar,Buffet,No,262,3.9,1150
Saffron Hub 915,MP Nagar,Cafe,Yes,245,3.6,550
Spice House 916,Arera Colony,Desserts,No,55,3.3,300
Tandoor Cafe 917,TT Nagar,Dining,Yes,257,3.9,400
Saffron House 918,Bairagarh,Dining,No,371,3.5,750
Tandoor Kitchen 919,Bairagarh,Dining,Yes,290,3.5,400
Urban Hub 920,Bairagarh,Dining,No,393,3.7,650
Spice Dine 921,Kolar Road,Cafe,Yes,118,3.4,550
Urban Corner 922,TT Nagar,Cafe,Yes,134,3.7,550
Tandoor Treats 923,MP Nagar,Casual Dining,Yes,322,3.7,700
Blue Treats 924,Indrapuri,Desserts,Yes,237,3.4,200
Green House 925,TT Nagar,Dining,Yes,270,4.1,500
Blue Corner 926,Indrapuri,Dining,Yes,157,4.1,400
Fusion Bistro 927,Arera Colony,Desserts,Yes,101,3.3,150
Saffron Corner 928,Kolar Road,Cafe,Yes,69,3.8,400
Fusion Hub 929,Bairagarh,Dining,No,181,3.3,450
Blue Kitchen 930,Indrapuri,Desserts,Yes,95,3.9,350
Saffron Corner 931,Kolar Road,Desserts,Yes,206,3.5,200
Saffron Kitchen 932,Indrapuri,Cafe,Yes,224,3.7,200
Royal Corner 933,MP Nagar,Dining,No,407,3.7,850
Spice Hub 934,Kolar Road,Casual Dining,No,249,4.1,800
Blue Treats 935,Kolar Road,Casual Dining,No,248,4.0,950
Tandoor Hub 936,Indrapuri,Buffet,No,67,3.9,650
Tandoor Corner 937,Indrapuri,Cafe,No,142,4.5,550
Saffron Corner 938,TT Nagar,Dining,No,150,3.5,800
Urban Hub 939,Arera Colony,Dining,No,403,4.3,600
Saffron Cafe 940,Arera Colony,Buffet,No,94,3.5,750
Saffron Hub 941,MP Nagar,Desserts,Yes,211,3.9,300
Spice Treats 942,Arera Colony,Buffet,No,200,4.2,750
Tandoor House 943,TT Nagar,Quick Bites,Yes,171,3.3,350
Urban Kitchen 944,Kolar Road,Quick Bites,No,161,3.7,450
Fusion Corner 945,MP Nagar,Quick Bites,No,246,3.8,200
Fusion Dine 946,TT Nagar,Desserts,No,212,3.5,500
Urban Bistro 947,Bairagarh,Desserts,Yes,52,4.1,200
Tandoor Treats 948,Kolar Road,Cafe,Yes,88,3.5,500
Spice House 949,Bairagarh,Desserts,No,143,3.9,400
Royal Cafe 950,Kolar Road,Quick Bites,No,66,4.2,250
Urban Kitchen 951,Indrapuri,Casual Dining,Yes,81,4.3,800
Fusion Kitchen 952,Bairagarh,Casual Dining,No,273,3.3,650
Royal Kitchen 953,TT Nagar,Quick Bites,Yes,131,3.1,150
Spice Cafe 954,Indrapuri,Cafe,Yes,236,3.8,450
Green Bistro 955,Kolar Road,Quick Bites,Yes,298,4.0,300
Fusion Treats 956,Indrapuri,Cafe,Yes,245,3.9,400
Blue Hub 957,TT Nagar,Quick Bites,Yes,277,3.5,250
Tandoor Treats 958,Arera Colony,Dining,No,181,3.5,900
Royal Treats 959,Indrapuri,Casual Dining,Yes,155,3.9,450
Spice Hub 960,Bairagarh,Buffet,No,222,4.4,1200
Fusion Bistro 961,Arera Colony,Quick Bites,No,82,4.0,200
Green House 962,Indrapuri,Quick Bites,No,222,3.9,250
Tandoor Cafe 963,Indrapuri,Dining,No,351,4.0,400
Urban Dine 964,TT Nagar,Dining,No,115,3.6,900
Blue Treats 965,Arera Colony,Dining,No,153,3.2,650
Saffron House 966,MP Nagar,Desserts,Yes,225,3.4,350
Royal Hub 967,Bairagarh,Casual Dining,Yes,265,3.7,800
Green Treats 968,Arera Colony,Buffet,No,109,4.4,1200
Spice Kitchen 969,Bairagarh,Dining,No,128,4.3,800
Fusion Kitchen 970,MP Nagar,Cafe,Yes,294,3.8,400
Green Cafe 971,Indrapuri,Casual Dining,No,178,4.0,900
Urban House 972,TT Nagar,Desserts,No,167,4.2,450
Urban Cafe 973,Kolar Road,Quick Bites,No,78,3.7,350
Green Dine 974,Kolar Road,Desserts,Yes,59,3.6,200
Royal Corner 975,Kolar Road,Quick Bites,Yes,191,3.9,300
Spice Corner 976,Kolar Road,Dining,No,184,4.2,700
Urban House 977,TT Nagar,Cafe,No,171,4.0,550
Blue Cafe 978,Bairagarh,Buffet,No,114,4.2,950
Royal Hub 979,Indrapuri,Quick Bites,Yes,56,3.2,200
Royal Treats 980,TT Nagar,Cafe,Yes,201,3.8,450
Tandoor House 981,TT Nagar,Desserts,No,66,4.2,250
Fusion House 982,Bairagarh,Buffet,No,280,3.7,1300
Saffron Cafe 983,Indrapuri,Casual Dining,No,213,4.3,650
Urban Corner 984,Indrapuri,Desserts,No,104,4.0,500
Urban Treats 985,TT Nagar,Buffet,Yes,243,3.8,1300
Fusion Kitchen 986,Kolar Road,Buffet,No,280,4.0,1250
Fusion House 987,MP Nagar,Dining,No,103,3.3,400
Tandoor Bistro 988,Arera Colony,Casual Dining,No,175,3.9,400
Tandoor Corner 989,Arera Colony,Quick Bites,No,250,3.8,400
Saffron Treats 990,Kolar Road,Buffet,No,229,4.3,900
Saffron Bistro 991,Indrapuri,Casual Dining,No,174,3.9,750
Royal Treats 992,Kolar Road,Quick Bites,Yes,242,4.1,250
Blue Dine 993,TT Nagar,Desserts,Yes,235,4.2,200
Royal Corner 994,MP Nagar,Dining,Yes,158,4.0,450
Saffron Hub 995,MP Nagar,Buffet,No,86,4.4,1100
Green Dine 996,TT Nagar,Desserts,No,233,4.1,150
Urban Hub 997,Arera Colony,Buffet,Yes,180,4.1,1250
Tandoor Cafe 998,Indrapuri,Dining,Yes,80,4.2,450
Green Corner 999,MP Nagar,Buffet,Yes,191,3.7,1150
Tandoor Hub 1000,Arera Colony,Dining,No,150,4.1,400
Urban Corner 1001,Arera Colony,Quick Bites,Yes,56,3.8,450
Green Treats 1002,Bairagarh,Dining,No,331,4.3,800
Saffron Hub 1003,Arera Colony,Quick Bites,Yes,250,4.0,350
Royal House 1004,Bairagarh,Casual Dining,No,234,3.4,550
Urban Treats 1005,Kolar Road,Dining,Yes,109,3.5,800
Tandoor House 1006,MP Nagar,Desserts,Yes,72,3.4,400
Blue Kitchen 1007,MP Nagar,Desserts,No,137,3.6,500
Green Corner 1008,Bairagarh,Buffet,Yes,154,3.9,900
Blue House 1009,TT Nagar,Desserts,No,190,3.4,350
Royal Kitchen 1010,Arera Colony,Casual Dining,No,292,3.4,850
Fusion Hub 1011,Bairagarh,Casual Dining,No,269,3.7,800
Saffron Corner 1012,Kolar Road,Desserts,Yes,206,3.9,200
Fusion Hub 1013,Arera Colony,Cafe,Yes,182,4.0,550
Fusion Bistro 1014,Arera Colony,Desserts,Yes,210,4.2,450
Tandoor Treats 1015,Arera Colony,Dining,Yes,358,3.6,700
Blue Treats 1016,MP Nagar,Dining,No,114,3.8,700
Tandoor Treats 1017,Bairagarh,Desserts,No,42,4.3,150
Saffron Kitchen 1018,Kolar Road,Desserts,Yes,155,3.5,400
Fusion Treats 1019,Indrapuri,Cafe,Yes,291,3.9,400
Fusion Treats 1020,Indrapuri,Buffet,No,166,3.6,850
Fusion Hub 1021,TT Nagar,Cafe,Yes,65,3.6,500
Tandoor Hub 1022,TT Nagar,Buffet,No,142,4.0,750
Tandoor Treats 1023,Indrapuri,Buffet,No,120,4.3,850
Green House 1024,Arera Colony,Quick Bites,No,157,3.2,250
Spice Bistro 1025,Indrapuri,Buffet,Yes,245,3.4,1350
Royal Cafe 1026,Arera Colony,Quick Bites,No,92,3.8,200
Fusion Hub 1027,TT Nagar,Quick Bites,No,272,3.3,300
Saffron Hub 1028,MP Nagar,Cafe,Yes,124,3.5,350
Royal Kitchen 1029,TT Nagar,Dining,No,322,3.5,500
Tandoor Hub 1030,TT Nagar,Cafe,Yes,98,3.4,350
Saffron Kitchen 1031,Arera Colony,Desserts,Yes,91,4.1,250
Green Cafe 1032,TT Nagar,Quick Bites,No,278,4.0,450
Green Hub 1033,Indrapuri,Casual Dining,Yes,167,3.9,800
Blue Dine 1034,MP Nagar,Quick Bites,No,167,3.4,200
Spice Corner 1035,MP Nagar,Casual Dining,No,124,4.3,350
Saffron Corner 1036,Kolar Road,Cafe,Yes,154,4.4,500
Saffron House 1037,MP Nagar,Cafe,Yes,66,3.9,500
Saffron Cafe 1038,Bairagarh,Buffet,No,99,4.0,650
Saffron Hub 1039,Indrapuri,Cafe,Yes,195,3.8,300
Blue House 1040,TT Nagar,Buffet,Yes,77,4.3,900
Urban Bistro 1041,TT Nagar,Buffet,No,141,4.2,1000
Saffron Kitchen 1042,MP Nagar,Dining,No,393,4.1,550
Tandoor Kitchen 1043,Bairagarh,Buffet,Yes,163,4.2,900
Tandoor Corner 1044,Kolar Road,Desserts,No,94,4.3,200
Green Kitchen 1045,Indrapuri,Casual Dining,Yes,280,4.3,750
Spice Corner 1046,Kolar Road,Quick Bites,Yes,230,3.9,200
Fusion Treats 1047,TT Nagar,Quick Bites,No,154,3.7,300
Green Hub 1048,Arera Colony,Desserts,Yes,127,3.6,250
Fusion Dine 1049,TT Nagar,Buffet,No,113,4.0,1050
Urban Hub 1050,MP Nagar,Casual Dining,No,110,3.9,850
Green Cafe 1051,Bairagarh,Desserts,Yes,174,3.7,450
Royal Cafe 1052,Indrapuri,Quick Bites,No,165,3.5,350
Blue Dine 1053,TT Nagar,Casual Dining,No,115,3.7,450
Royal Bistro 1054,Indrapuri,Dining,Yes,248,3.2,750
Tandoor Kitchen 1055,MP Nagar,Buffet,Yes,168,4.3,650
Urban Corner 1056,Kolar Road,Cafe,Yes,240,4.2,300
Green Kitchen 1057,Indrapuri,Casual Dining,No,334,3.6,800
Tandoor Corner 1058,Indrapuri,Buffet,No,195,3.5,1150
Fusion Dine 1059,MP Nagar,Buffet,No,211,3.7,650
Royal Hub 1060,TT Nagar,Buffet,No,160,3.4,650
Fusion Kitchen 1061,Bairagarh,Desserts,Yes,92,4.3,250
Blue Treats 1062,TT Nagar,Cafe,Yes,254,3.9,250
Saffron Kitchen 1063,Arera Colony,Quick Bites,No,81,3.8,250
Green Kitchen 1064,Kolar Road,Dining,Yes,322,4.2,350
Tandoor House 1065,Indrapuri,Casual Dining,No,121,3.6,800
Spice Kitchen 1066,Arera Colony,Desserts,Yes,237,3.5,250
Spice Treats 1067,MP Nagar,Desserts,Yes,136,3.4,500
Saffron Hub 1068,Kolar Road,Buffet,No,256,4.3,950
Tandoor Corner 1069,Indrapuri,Casual Dining,No,162,3.5,850
Saffron Cafe 1070,MP Nagar,Dining,No,450,4.0,700
Green Cafe 1071,TT Nagar,Casual Dining,No,165,3.7,600
Fusion Cafe 1072,Arera Colony,Desserts,No,54,4.1,450
Fusion Cafe 1073,Arera Colony,Cafe,No,71,3.6,350
Urban Kitchen 1074,Kolar Road,Quick Bites,Yes,280,3.2,450
Green Dine 1075,Indrapuri,Buffet,No,253,4.3,800
Royal Bistro 1076,MP Nagar,Desserts,Yes,118,3.3,450
Green Corner 1077,Arera Colony,Desserts,No,108,3.4,400
Green Cafe 1078,Arera Colony,Desserts,Yes,167,4.4,450
Blue Cafe 1079,Arera Colony,Quick Bites,No,283,3.6,450
Blue Corner 1080,Indrapuri,Casual Dining,No,262,3.5,750
Blue Bistro 1081,Arera Colony,Desserts,Yes,176,3.3,400
Tandoor Corner 1082,Bairagarh,Buffet,No,76,4.1,1050
Urban Bistro 1083,Bairagarh,Quick Bites,No,270,3.3,150
Saffron Hub 1084,MP Nagar,Buffet,No,208,4.0,800
Blue Corner 1085,TT Nagar,Buffet,No,114,4.0,1300
Green Cafe 1086,MP Nagar,Buffet,No,82,3.8,900
Spice Corner 1087,MP Nagar,Buffet,Yes,187,4.1,1000
Urban Corner 1088,Bairagarh,Desserts,No,176,3.9,200
Urban Cafe 1089,Arera Colony,Cafe,Yes,274,4.1,300
Tandoor Bistro 1090,TT Nagar,Cafe,Yes,145,3.5,500
Fusion Treats 1091,Kolar Road,Cafe,Yes,320,4.1,550
Tandoor Cafe 1092,Kolar Road,Casual Dining,No,150,4.0,850
Royal Kitchen 1093,TT Nagar,Cafe,Yes,283,3.8,600
Green Treats 1094,Bairagarh,Dining,Yes,300,3.4,850
Urban Dine 1095,TT Nagar,Casual Dining,No,294,3.5,800
Spice Treats 1096,Indrapuri,Cafe,Yes,190,4.4,450
Green Hub 1097,Bairagarh,Buffet,No,61,4.2,1350
Blue Bistro 1098,MP Nagar,Quick Bites,Yes,70,3.5,450
Urban Treats 1099,Kolar Road,Cafe,Yes,165,4.2,300
Urban House 1100,Kolar Road,Dining,No,333,3.6,350
Royal Corner 1101,Indrapuri,Dining,No,412,4.0,350
Fusion Kitchen 1102,MP Nagar,Casual Dining,No,115,3.9,550
Fusion Hub 1103,Bairagarh,Cafe,Yes,230,3.7,200
Fusion Bistro 1104,Arera Colony,Desserts,Yes,185,3.4,500
Tandoor House 1105,MP Nagar,Quick Bites,Yes,189,4.1,200
Urban House 1106,Bairagarh,Casual Dining,No,305,4.1,900
Green Dine 1107,Bairagarh,Buffet,No,121,4.4,900
Royal Treats 1108,Indrapuri,Buffet,No,55,3.8,1200
Spice House 1109,Bairagarh,Buffet,Yes,247,3.4,1150
Green Dine 1110,MP Nagar,Desserts,No,238,4.0,150
Tandoor Cafe 1111,TT Nagar,Buffet,Yes,93,4.2,850
Blue Dine 1112,Indrapuri,Quick Bites,No,106,3.5,350
Saffron Corner 1113,Arera Colony,Cafe,Yes,259,4.2,350
Fusion Bistro 1114,Arera Colony,Casual Dining,No,310,3.8,900
Tandoor Kitchen 1115,Indrapuri,Desserts,Yes,149,4.0,150
Saffron House 1116,Arera Colony,Desserts,No,70,4.2,250
Green Dine 1117,TT Nagar,Buffet,No,125,3.7,1250
Royal Hub 1118,TT Nagar,Desserts,No,202,3.9,200
Spice House 1119,Indrapuri,Desserts,Yes,62,3.5,250
Green Cafe 1120,Arera Colony,Quick Bites,No,173,3.4,250
Green Treats 1121,Arera Colony,Cafe,Yes,156,4.1,450
Green Treats 1122,Kolar Road,Dining,No,298,3.5,900
Tandoor House 1123,Arera Colony,Quick Bites,No,53,3.6,250
Tandoor Kitchen 1124,Indrapuri,Cafe,Yes,285,4.5,450
Urban House 1125,Arera Colony,Cafe,Yes,88,3.7,600
Saffron Treats 1126,Bairagarh,Casual Dining,No,114,3.4,600
Fusion Hub 1127,Bairagarh,Buffet,Yes,81,3.8,600
Urban House 1128,MP Nagar,Dining,Yes,245,3.7,500
Royal Dine 1129,Arera Colony,Cafe,Yes,65,4.3,450
Urban House 1130,TT Nagar,Cafe,Yes,74,3.7,350
Urban House 1131,Arera Colony,Buffet,No,74,3.8,800
Green Hub 1132,Kolar Road,Quick Bites,Yes,276,4.1,300
Saffron Corner 1133,Arera Colony,Desserts,Yes,219,3.8,450
Spice Bistro 1134,Bairagarh,Quick Bites,Yes,119,3.6,150
Spice Corner 1135,MP Nagar,Dining,No,443,4.2,300
Fusion Kitchen 1136,TT Nagar,Casual Dining,Yes,167,3.5,950
Blue Dine 1137,TT Nagar,Dining,Yes,149,3.5,350
Green Cafe 1138,Indrapuri,Quick Bites,Yes,101,3.4,200
Tandoor Treats 1139,Kolar Road,Dining,No,396,3.8,300
Saffron Corner 1140,Indrapuri,Desserts,Yes,244,4.1,300
Royal Corner 1141,Arera Colony,Casual Dining,No,223,3.8,1000
Urban Dine 1142,Bairagarh,Cafe,Yes,232,4.2,550
Fusion Corner 1143,Indrapuri,Casual Dining,No,323,3.5,500
Green Treats 1144,Bairagarh,Casual Dining,Yes,114,4.1,450
Fusion House 1145,Arera Colony,Cafe,No,90,3.8,500
Fusion Kitchen 1146,Arera Colony,Cafe,Yes,193,4.1,350
Urban Bistro 1147,Bairagarh,Quick Bites,Yes,238,3.9,350
Blue Treats 1148,Arera Colony,Casual Dining,Yes,142,3.9,400
Blue Corner 1149,MP Nagar,Desserts,Yes,75,4.3,300
Spice Bistro 1150,Arera Colony,Quick Bites,Yes,139,4.2,400
Saffron Cafe 1151,Indrapuri,Buffet,No,114,3.7,1000
Fusion Dine 1152,Bairagarh,Quick Bites,No,169,4.1,350
Urban House 1153,Indrapuri,Casual Dining,Yes,218,3.4,600
Green Dine 1154,Kolar Road,Cafe,Yes,97,3.8,300
Green Treats 1155,MP Nagar,Quick Bites,Yes,87,3.6,250
Saffron Kitchen 1156,TT Nagar,Cafe,Yes,309,3.6,350
Urban Corner 1157,MP Nagar,Buffet,No,151,3.7,850
Royal Hub 1158,MP Nagar,Casual Dining,Yes,300,3.6,450
Royal Corner 1159,Kolar Road,Quick Bites,Yes,300,4.0,350
Green House 1160,Indrapuri,Desserts,Yes,158,4.1,500
Fusion House 1161,Bairagarh,Buffet,No,212,3.6,1150
Blue Kitchen 1162,MP Nagar,Buffet,No,191,3.7,650
Tandoor Bistro 1163,TT Nagar,Casual Dining,No,269,3.5,700
Urban Treats 1164,MP Nagar,Desserts,Yes,176,3.9,300
Urban Dine 1165,Kolar Road,Casual Dining,Yes,359,3.6,350
Spice Cafe 1166,MP Nagar,Cafe,Yes,107,3.5,350
Tandoor Bistro 1167,Kolar Road,Cafe,Yes,134,3.6,450
Spice Kitchen 1168,MP Nagar,Buffet,No,155,3.4,850
Royal House 1169,Arera Colony,Buffet,No,271,3.3,950
Green Hub 1170,MP Nagar,Casual Dining,Yes,314,3.6,650
Spice Bistro 1171,Bairagarh,Cafe,Yes,259,4.4,250
Fusion Corner 1172,Arera Colony,Casual Dining,Yes,190,3.9,600
